老朽	老而 衰败 老朽 以终
屡禁不止	指 发布 禁止 做 某件事 情 命令 目的 事情 发生 停止
屡禁不绝	NONE
调查	考查
考察	实地 观察 调查
查明	调查
踏看	实地 查看
踏勘	修路 建筑 采矿 工程 地形 地质 状况 现场 勘察
踏看	实地 查看
查	姓
查证	调查 情况 以求 证实
检察	检审 检举 犯罪 事实
调研	调查 研究
侦查	公安机关 犯罪事实 犯罪人 调查
侦探	探查 机密 调查 案情
侦缉	侦查 缉捕
查访	调查 访问
察访	调查 访问
内查外调	指在 单位 内外 调查 事情 真实情况
明查暗访	明里 调查 访问 指 多方面 调查 情况
微服私访	帝王 官吏 隐蔽 身份 穿 平民 服装 秘密 出行 探访 民情 巡查 疑难 重案 广义 理解 未曾 谋面 知其名 暴露 身份 情况   说
明察暗访	明里 细心 察看 暗里 询问 指用 方法 调查 研究
暗访	查访
探查	侦察 查看
探明	打听 探察 明白
有案可查	案 案卷 文书 指有 证据 可查
查无实据	查究 确实 证据
察明	NONE
查清	调查
查到	NONE
送审	送交 审查
送检	送交 检查
实地调查	NONE
问卷调查	NONE
抽样调查	统计调查 组织 形式 统计 总体 中 随机 原则 抽取 一部分 单位 样本 调查 以其 推断 总体 情况 工作 统计 某一 地区 农业 粮食产量 随机 选取 比例 同等 面积 地块 若干块 样本 实测 以其 产量 推断 地区 粮食 总产量
主审	NONE
自审	NONE
自查	NONE
自纠自查	NONE
盘查	盘问 检查
盘问	严厉 详细 询问
查问	查究 追问 审问
查询	查考 询问
盘根究底	盘 仔细 查问 究 追究 盘问 追究 事情 根由
严查	检查
金属探伤	利用 探伤 器 检验 金属 制件 内部 缺陷 隐蔽 裂纹 砂眼 杂质 一种 方法
清查	检查 查清
抽查	选择性 检查 抽取 一部分 检查
复查	作 检查 审核 可指 病情 检查 指 某类 事实 犯罪 审核
查哨	检查 哨兵 执行 情况 说 查岗
巡查	来往 各处 查看
备查	供 查考
存查	保存起来 以备 查考
待查	有待 调查
查账	核查 账目
缉查	搜查
排查	侦破案件 逐个 审查
验明	检查 明白
验明正身	验 确是 而非 冒名顶替
失察	监督 检查 上有 疏忽
习焉不察	习 习惯 语气词 有于 察觉 察指 接触 某种事物 觉察 不到
点名	顺序 名字
点卯	旧时 官厅 卯时 上午 五点 七点 查点 班 人员 点卯
唱名	高声 呼名 点名 北史元 文遥 传令   赵郡王   叡   宣旨 唱名 厚加 慰喻 警世 通言 金令史 美婢 酬秀童 拈鬮 这日 刘云   应鬮 各吏 名字 开列 一单 呈 知县 相公 唤 里 书房 写下 条子 呈 罢命 门子 乱乱的 总做 一堆 唱名 取鬮 严复 救亡 决论 逐队 唱名 俯首 就案
评论	批评 议论 文章
评说	评论 评价
评价	评估 价值
讲评	讲述 评论
品评	评价 评论
臧否	褒贬 评论
褒贬	评论 好坏
品	物件 物 产 赠 战利
评	议论 评论 议 语 改 点 估 审 述 短
评头品足	原指 轻浮 议论 妇女 容貌 现 比喻 任意 挑剔
评头论足	原指 轻浮 议论 妇女 容貌 现 比喻 任意 挑剔
品头论足	指 无聊 随意 议论 妇女 容貌 体态 现亦 比喻 小节 一味 挑剔 品头题足
评介	评论 介绍
评出	NONE
评为	议论 评论 议 语 改 点 估 审 述 短
毁誉参半	说坏话 说 好话 占 一半 评价 意见
发奖	获奖者 颁发奖品
授奖	授予 奖品 奖状
颁奖	授予 奖品 奖金
悬赏	公开 出钱 征请 众人 做事
有奖	NONE
报奖	NONE
重赏	钱 或物 奖赏 数额 贵重 奖励
表扬	好人好事 公开 称赞
褒扬	赞美 表扬
表彰	表扬 嘉奖
褒	赞扬 夸奖 贬 奖 扬 贬 义词
彰	～～ 昭 ～～ 明欲盖 弥
旌	NONE
开除	除名
革除	废除 用于 法律 习惯 制度 传统
开	启张 关闭 东西 打开 启 化 诚布公
除名	姓名 名册 除掉 指 取消 原有 资格 除籍
并处	群居 荀子 富国 万物 同宇 异体 无宜 有用 人数 人伦 并处 同求 异道 同欲而异 知生
警告	犯错误 一种 处分 警告 处分
记过	记录 过失 给予 过失 一种 处分
体罚	成年人 父母 教师 小孩 身体 惩罚 严厉 性 手心 打屁股 不等
记大过	NONE
行政处分	国家机关 企事业 单位 违法违纪 成员 给予 处分 包括 警告 记过 降级 撤职 开除
违者必究	NONE
违法不究	NONE
服法	有罪 依法 受刑 伏法
挨整	受 整治 吃苦头
整人	批判 斗争
检讨	找出 缺点错误 做 自我批评
检查	查看 查考
反省	回想 言行 检查 错误
自我批评	自觉 思想 缺点错误 作 实事求是 检讨 改正 目的
选举	选取 任用 贤才
推选	口头 推举 选任
推举	推选 举荐
公推	推选 某人 任职
选	挑 拣择 择 购 辑 ａ 挑选 辑录 ｂ 选辑 成 书 拔 贤任
推	手抵 物体 向外 向前 用力 使物 车 搡 倒 敲 顺水 舟
举	向上 抬 向上 托 头 手 重 棋
选出	NONE
选任	公意 政府 行政 程序 选定
落选	选举 中 淘汰
补选	补缺 两次 正规 选举 之间 选举
选拔	条件 挑选
甄拔	考察 提拔
挑选	或事物 中 选出 合乎
遴选	慎重 选拔 审重 选择
提拔	动 选拔 提升
提升	提拔 提高 职位 等级
擢升	提升 提拔
栽培	种植 培育
提挈	手提
擢用	提升 重用
提干	提升 干部
晋职	晋升 高 职位
聘请	邀请 担任 职务
聘任	聘请 任职
聘用	聘请 任用
延聘	聘请
延请	邀请 招请
延	引长 长 á～ 续蔓 ～～ 年 益寿
聘	访问 问 古代 指 代表 国家 访问 友邦 通 ～～ 往来
请	求 求 示 假 ǎ～ 命 战 教 à～ 愿 君入 瓮 缨喻 请战 杀敌
招录	NONE
特聘	NONE
招聘	公告 方式 应聘
征聘	招聘 公告 方式 聘请
聘选	征召 选拔
招贤纳士	招 招收 贤有 德有 人纳 接受 士指 读书人 招收 贤士 接纳 书生 指 网罗人才
选聘	挑选 聘用
招贤	招揽 贤人
应聘	接受 聘问
引聘	NONE
返聘	聘请 离休 退休 人员 回原 单位 工作
聘为	访问 问 古代 指 代表 国家 访问 友邦 通 ～～ 往来
征募	征招 召募
招募	征召 募集
征集	寻求 收集
征召	政府 召集 服务 征求 召集 征召 身体健壮 青年
征	远行 长 ～～ 途 夫 衣 帆 远行 船
招兵买马	旧时 指 组织 扩充 武装力量 比喻 组织 扩充 人力
招生	征招 新生
招收	考试 手续 接收 学员 学徒工 工作人员
招用	招收 人民日报 招用 临时工 城市 中 招用 农村 中 招用 文汇报 招用 自流 人员 上山 清林 酿成 大祸
征稿	征集 稿件
任命	委任 下文 任用
任	信赖 信
授	给与 予 权 命 奖 旗 衔 意
除	去掉 害 名 根铲 废 排 ～～ 暴安良
选	挑 拣择 择 购 辑 ａ 挑选 辑录 ｂ 选辑 成 书 拔 贤任
委任	任命 某人 担任 职务
委派	委托 安排
委	任派 事 交给 人办 托 派 员 重任
封爵	封土 授爵 汉书 高惠高 后文 功臣 表 封爵 之誓 曰   黄河   如带 泰山   厉国以 永存 爰 苗裔 后汉书 光武帝 纪下 功臣 宗室 咸蒙 封爵 多受 广地 属 县 南朝   宋   傅亮 宋公求 加赠 刘前 军表 每议 封爵 輒 深 自抑 絶 勋高 当年 茅土 弗及 赵大年 公主 女儿 清朝   封爵 制度 一条 封为 亲王 下一代 沿袭 爵位 时 只能 降 一等 封为郡 王
封	密闭 外面 隔绝 闭密 ～～ 口 存 条 贮 面 底 锁 顶冰 雪飘 山 育林
拜	敬意 礼节 ～| 叩 ～| 跪 引 恭敬地 托 |～ 访 |～ |～ 请 礼拜 宗教徒 对神 敬礼 祷告 转周 星期 别称
加官进爵	爵 爵位 君主 国家 封 贵族 等级 旧时 指 官职 提升
授衔	NONE
分封	帝王 分地 封侯
授职	授予 官职
册立	古代 帝王 封 立太子 皇后 旧唐书 承天 皇帝 李 倓 传上 曰 广平   地当储 贰 何假 元帅 曰 广平   今未 册立 艰难 时人 尤属 於 元帅 明   张居正 请 册立 东宫 疏 去岁 皇上 登极 之初 礼官 疏 请 册立 伏奉 圣諭 皇子 年 尚幼 先赐名 册立 清   孔尚任 桃花扇 选优 目今 外侮 不来 内患 不生 採选 淑女 册立 正宫
册封	皇帝 封授 皇贵妃 贵妃 亲王 典礼
临危授命	危急关头 勇于 献出 生命
委以重任	职务 交给
任人唯亲	任用 唯只 亲 关系密切 指 用人 德才 只选 关系 亲密
任人唯贤	贤有 德有 指 用人 只选 有德有
弃瑕录用	NONE
择优录用	NONE
知人善任	知 任用 善于 品德
备取	正式 报考 名额 之外 录取 考生 替补 未报 正式 录取 生 录取 考生 备取生
用人	选择 人员
撤职	撤销职务
革职	免职 尤指 劣迹 军队 国家 职务 中 正式 革除
免职	解雇 解除 职务
罢职	解除 职务
去职	离开 职务 担任 职务
解职	解除 职务
停职	某人 停止 履行 职责 暂时 解除 职务
丢官	NONE
任免	任用 免去 职务
撤掉	NONE
罢官	免除 官职
罢黜	贬低 排斥 孝武 初立 卓然 罢黜百家 表章 六经 汉书 武帝纪 赞
黜免	罢免 免除 革除 官职
罢免	选民 代表 机关 撤销 选出 人员 职务
斥退	免官 革退
靠边儿站	NONE
清退	清理 退还
雇用	货币 购买 劳动
雇佣	货币 购买 劳动
雇请	出钱 请人替 做事
雇工	雇用 农场 工厂 商店
雇	出钱 人为 做事 工 主 员 佣 请
佣	雇用 受 雇用 雇 ～～ 工 耕
用活	生存 生命 生长 死 体 检 物
解雇	终止 雇用
解聘	解除 聘任 职务 聘用
辞退	停止 雇用 解雇
辞	NONE
散	分开 聚集 分离 分 解 涣 ～～ 落 失 逸
炒鱿鱼	方指 解雇 鱿鱼 炒 卷 炒鱿鱼 比喻 卷铺盖
辞掉	NONE
就职	正式 到任 任职 工作 多指 高 职位
到职	接受 任命 委派 来到 工作岗位
到任	指 官员 到职 上任
上任	官员 就职
走马上任	走马 骑着马 跑 职务 旧指 官吏 到任 现 比喻 接任 某项 工作
下车	车辆
下车伊始	伊 文言 助词 始 旧 指新 官刚 到任 现 比喻 工作 刚到 地方
就任	赴任 就职 担任 职务
赴任	官吏 某地 担任 职务
走马赴任	走马 骑着马 跑 职务 旧指 官吏 到任 现 比喻 接任 某项 工作
新任	新 职初 新职
接替	接过 工作 做
接手	本垒 后接 投手 投来 球 防守 本垒 本垒 棒球 垒球 地区 队员
接任	接替 某人 职务
继任	接任 职务
接班	继承 职务 地位 作用 头衔
接	连成 一体 合 骨 壤 衔
接办	接受 办理 接手 经办 业务 丨 案件
紧接	NONE
交卸	卸去 职务 交付 后任 宋   刘克庄 楼 戊戌 自寿词 仙都   玉局 纔 交卸 新衔   华州 山 二十年 目睹 怪现状 二回 王伯述   交卸   大同 府   篆 茅盾 子夜 十五     交卸 卷 铺盖 滚
移交	负责 经营 离职 前 所管 事物 交给 接手
交代	接替 移交 万物 之始 阴阳 交代 尔雅 释山 泰山 东岳 疏及 岁 交代 卫座 数千 皆 叩头 请愿 复留 一年 汉书 盖 宽饶 交代 工作
交班	工作 交给 接班
交接	连接 相接
交割	新旧交替 时 结清 手续 移交
办事	公务
做事	担任 固定 职务 工作
出差	机关 部队 企事业 单位 工作人员 暂时 外地 办理 公事 北京 ~｜ 一个月 差
出勤	岗位 工作
公出	公事 外出
开会	召集 若干 议事 多人 聚集 处所 议事 会议 集会 会议 集会 参加 会议 集会   市政府 很快 开会研究
复会	会议 中断 休会
建筑	指造 房子 修路 架桥
建造	建筑 建造 教堂
修建	砖瓦 木料 水泥 砂 建造 建筑
修筑	修缮 建筑 修建
兴修	动工 修建
构筑	构造 建筑 外围 构筑 一道 胸墙
建	设置 成立 ａ 成立 ｂ 树 建立 功业 建立 功业 国 ū～ 党 军 交 设 功 立业
筑	捣土 杵 项王 伐 身负 板 士卒 先
修	装饰 完美 饰 辞装
盖	遮蔽 作用 东西 子锅 瓶 膝 天灵
打	击 敲 攻击 击殴 ～～ 杀
盘	盛放 物品 扁 浅 用具 茶 菜 托
垒	古代 军中 作 防守 墙壁 堡 营
砌	建筑 时垒 砖石 泥灰 粘合 墙堆 喻 写文章 时 华丽 无用 词语
大兴土木	兴 创办 土木 指 建筑工程 大规模 盖房子
构	结成 组合 造 造 思 图虚 ～～ 筑 想
组构	NONE
动土	刨地 多指 建筑 安葬
动工	指 土木工程 开工
施工	设计 建筑
破土	掘
破土动工	NONE
打夯	夯 砸 密实
夯	砸 地基 工具 木 蛤蟆
改建	原有 基础 改造 建设 建筑物 变为 建筑物 指 改变 外形 性质 作用
改造	修改 变更 原 事物 适合
翻修	原 建筑物 拆除 后照 原 规模 重建
翻盖	翻造
翻	歪倒 ǎ 反转 变动 位置 改变 推 ～～ 车 卷 滚 工 阅 身 修 建 改 脸人仰 马 ～～ 江倒海 形容 水势 浩大 多喻 力量 气势 壮大 云覆雨喻 反覆无常 玩弄 手段
奠基	建筑物 奠定 基础
建于	NONE
抢建	加快速度 提前 建筑
加筑	NONE
造陆运动	地球 内部 变化 地壳 作 缓慢 升降 运动 海水 退出 侵入 陆地
造山运动	山岳 过程 尤指 地壳 褶皱 作用 指 时间 空间 紧密联系 连续 造山运动
铺设	配置 筑路 材料 牢固 地铺
敷设	布设 铺设 管道 设施 隐蔽
铺	商店 饭 肉 ～～ 面
街垒	砖石 车辆 沙袋 街道 城市 空 场上 堆成 障碍物 街垒战
铺就	NONE
铺砌	砖石 覆盖 地面 建筑物 表面 平整
放置	安放
码放	NONE
装配	部件 组合成 操作 整体
配	两性 偶 ǒ
装机	NONE
装饰	指 日常生活 中 化妆 打扮
装点	装璜 点饰 布置 整理
装璜	装饰 物品
装修	房屋 主体 结构 内部 设施 安装 墙面 作业 房屋 交付使用 进一步 装璜 美化
点缀	衬托 装饰 美好
饰	装点 好看 装 修
装潢	作 装璜 装裱 字画 古时 装裱 书画 黄蘖 汁 染 纸 潢 纸 故称 南朝   梁   沉约 禅林寺 尼净秀 行状 写 集众 经皆令 具足 装潢 染成 悉 自然 宋   姚宽 西溪 丛语 卷 齐民要术 装潢 纸法云 浸蘖 汁 入潢 凡潢 纸灭 便是 染则 年久色 暗盖染 黄 写 讫 入潢 辟 蠹 清   俞樾 茶香 室三钞 剪字   林文耀   中年 失明 翦 纸 字势 飞动 龙蛇 点画 差毫 髮 室 装璜 成轴易 薪米 自给 人称 曰   林翦 一本 作 装潢 一说 潢 犹池言 书画 周边 装饰 绫锦则 缘内 如池 装成 卷册 谓之 装潢 清   方以智 通雅 器用 潢 犹池 外加 缘则 内为 池装成 卷册 谓之 装潢 即表背 参阅   明   周嘉胄 装潢 志
装裱	装潢 裱贴
制造	原材料 加工 成 产品
制作	指 写作
造作	制造 捏造
打造	制造
制	因地 宜 式 宪
造	制作 做制 创 ～～ 物 反 孽建 ～～ 表 册 价 型 粗制 滥
做	工作 活动 事 工 手脚 安排
打	击 敲 攻击 击殴 ～～ 杀
炮制	用烘炮 炒 洗 泡 漂 蒸煮 方法 加工 中草药 目的 消除 减低 药物 毒性 疗效 制剂 贮藏 药物 纯净
筑造	犹 建造
酿造	原 专指 酿酒 指 利用 发酵 作用 制造 醋 酱油
酿	利用 发酵 作用 制造 酒醋 酱油 造 酒 醋
酿制	酿造
仿造	模仿 样式 制造
仿制	模仿 制作
克隆	生物体 体细胞 无性繁殖 复制出 遗传性状 完全相同 生命 物质 生命体
再生	NONE
还魂	还魂 个体 死亡 灵魂 脱离 回到 身体 新死 个体 身体 中 生活 现象
再造	再生 用作 感激 救助
来料加工	NONE
造假	假 局面
掺假	真的 东西 混入 假 东西 锺 山年 第期 激动 赞赏 钦佩 爱慕 发自内心 丝毫 掺假
掺杂使假	NONE
吹塑	称 中空 吹塑 一种 发展 塑料 加工 方法
闭门造车	关起门来 造 车子 比喻 脱离实际 主观 办事
急造	NONE
称体裁衣	身材 裁剪 衣服 比喻 做事 具体情况 作 量体裁衣
自制	自行 制订 制造 汉书 王吉传 古者 衣服 车马 贵贱 有章 褒有 德而别 尊卑 僭 差 自制 贪财 诛利 不畏 死亡 颜师古   注言 节度 南朝   梁   陶弘景 古今 刀剑 录 齐高帝   萧道成     建元   二年 造 一刀 铭 曰 定业 长 五尺 篆书 自制 之宋   陈亮 问答 君臣 定位 听命 有常 所非 天下 之人 所得 自制 梁启超 少年 中国 说夫国 何物 土地 以居 於 土地 而治其 所居 土地 之事 自制 法律 自守
监制	监督 产品 制造
试制	大规模 投产 试着 制造 生产
特制	某一 特定 目的 或为 特定 目的 做
复制	仿原 样品 制造
压制	强力
提制	原料 中 提炼
